Price,Cup,Hero
234.215886,10700,48
1171.07943,31200,80
936.863544,26850,63
2342.158859,44000,85
655.804481,20800,63
626.527495,22630,62
614.816701,22088,64
468.431772,10900,53
556.262729,17300,57
380.600815,11292,39
731.924644,20650,54
644.093686,20935,68
614.816701,22702,67
2107.942974,16278,64
1112.525458,26808,73
117.107943,2650,24
989.562118,17930,61
351.323829,776,20
1522.403259,22500,69
187.372709,3514,28
187.372709,3499,28
210.794297,3513,31
187.372709,3503,27
819.755601,14691,44
1171.07943,8875,41
409.8778,2121,24
468.431772,12935,54
117.107943,4740,29
702.635947,20434,61
702.635947,20904,66
1288.187373,29882,66
936.851833,19723,50
1171.067719,22985,51
936.851833,18790,45
1053.959776,21668,52
1053.959776,22032,55
702.635947,20523,55
936.851833,23001,58
819.74389,20170,50
2927.698574,49700,84
1580.95723,35355,77
2078.665988,24391,66
1654.543537,7707,44
292.221149,6658,43
117.107943,1368,12
936.863544,20000,72
1229.633401,24220,74
204.9389,3086,36
409.8778,8676,47
128.818737,2394,34
131.160896,2365,26
425.980143,15004,53
487.180754,16211,65
468.431772,16869,42
386.456212,2447,35
1756.619145,42761,83
1024.694501,17008,58
1639.511202,28653,65
1405.295316,19434,67
790.478615,14235,50
702.647658,11237,31
1463.849287,32224,76
731.924644,12638,30
439.154786,15314,44
1053.971487,23405,64
849.032587,15423,44
468.431772,8000,37
1980.295316,31400,78
1171.07943,13400,54
1282.331976,33149,81
4684.317719,29000,78
46.843177,400,3
2342.158859,21906,70
96.028513,1077,19
702.647658,20000,55
585.539715,17000,47
7028.818737,29331,66
5938.906823,32127,78
2342.158859,30200,75
3513.238289,27500,83
3513.238289,34000,68
292.769857,13000,49
234.215886,4133,40
351.323829,11157,58
234.215886,6340,51
299.995418,411,9
299.995418,410,8
299.995418,417,8
299.995418,418,7
299.995418,418,8
299.995418,409,8
1756.619145,36198,78
5855.397149,50000,85
468.431772,4275,39
585.539715,13546,41
187.372709,5887,39
81.97556,2409,21
3044.806517,51057,78
3513.238289,40000,78
819.755601,16706,47
1053.971487,17340,49
5855.397149,50000,85
1053.971487,19400,57
761.201629,5778,37
23.421589,1,1
230.0,1174,21
1171.07943,28500,64
7026.476578,40000,82
761.201629,27679,56
409.8778,14747,49
936.863544,23000,64
2107.942974,24000,72
1756.619145,22004,68
2342.158859,37000,83
1599.998982,11190,70
926.544381,37000,82
64.409369,300,5
351.323829,10755,56
351.323829,1249,18
1171.07943,19840,51
468.431772,3346,24
1053.971487,25000,71
2459.266802,20000,52
1171.07943,12000,47
995.417515,30000,74
503.564155,7500,38
2107.942974,22000,56
2107.942974,41000,75
819.755601,21000,57
1990.835031,28700,64
2927.698574,25000,78
1440.427699,30800,73
3513.238289,14500,65
5823.993251,29500,82
58.553971,800,11
