Price,Cup,Hero
526.985743,3078,36
351.323829,7500,32
374.745418,14000,54
1474.389002,14887,54
1405.295316,21578,67
175.661914,5781,33
585.539715,17642,64
1756.619145,27546,66
4098.778004,31000,72
796.334012,16000,59
99.541752,550,15
2927.698574,28500,78
2927.698574,27000,80
351.323829,16000,37
1979.124236,38800,76
1053.971487,30937,72
1522.403259,34000,80
1756.619145,32200,76
644.093686,14411,53
936.863544,4803,37
2342.158859,13300,48
350.152749,8000,31
4332.99389,49232,85
15225.004582,72000,85
673.370672,10700,48
1288.187373,28000,80
7143.584521,49000,85
1257.453088,14190,63
2576.374745,28803,70
269.348269,8600,37
5855.397149,42591,84
2927.698574,24500,72
936.863544,13800,47
99.998473,555,10
99.998473,505,10
99.998473,505,10
99.998473,515,13
819.755601,31218,79
351.323829,20456,54
8783.095723,60005,85
4684.317719,23083,73
1112.525458,23650,69
1720.725279,25860,67
25178.207739,65600,84
87.830957,1754,25
468.431772,3000,24
374.745418,1000,19
3044.360108,40661,83
2250.17921,32060,81
1405.295316,4341,31
1979.124236,19700,62
9898.162424,30000,85
351.323829,11000,35
351.323829,8000,35
468.431772,10100,52
2342.158859,32112,76
7260.692464,40000,85
436.799494,3747,38
386.456212,7000,55
5151.578411,50000,83
2576.374745,9000,43
585.539715,20317,56
2576.374745,45000,79
989.562118,15440,63
222.505092,11546,37
1089.10387,17000,61
2488.543788,31000,78
397.090449,1488,27
661.817415,14800,69
1058.907864,28691,75
292.769857,7044,31
87.830957,400,14
92.515275,458,10
2927.698574,21500,56
5855.397149,41000,83
251.490618,2007,18
585.539715,4500,49
396.410387,3000,32
2927.698574,19000,68
5855.397149,60785,84
257.637475,10131,50
2365.580448,6000,34
18737.270876,35000,72
468.431772,14700,52
247.437373,1150,23
1990.835031,27032,67
175.661914,1513,28
1522.403259,28411,53
808.044807,23608,67
5855.397149,32000,80
175.661914,1674,22
585.539715,7337,50
2576.374745,17963,59
152.240326,8692,37
936.863544,15986,64
1323.63483,20700,58
11710.794297,45000,81
2927.698574,42000,85
1299.898167,33343,75
1405.295316,27788,75
702.647658,6000,38
995.417515,21089,53
644.093686,14194,53
1756.619145,20000,53
304.480652,9040,45
175.661914,5524,35
1756.619145,10442,53
234.215886,14000,44
1053.971487,24721,57
292.769857,9500,46
819.755601,22800,52
5855.397149,50233,82
644.093686,9530,46
623.828626,16636,49
210.794297,518,20
936.863544,12600,50
1171.07943,17000,62
494.909878,13918,39
1194.501018,20240,69
2342.158859,42650,78
234.215886,5500,35
199.083503,5589,28
1171.07943,15000,51
3513.238289,28931,53
3512.06721,25700,67
93.686354,2800,19
3160.743381,37700,83
644.093686,25978,58
257.637475,2230,27
257.637475,2200,24
316.191446,1695,27
175.661914,512,18
381.15802,18991,59
585.539715,12196,49
5855.397149,44400,83
926.544381,18090,62
3513.238289,49600,85
1053.971487,23700,77
44.501018,657,14
117.096232,2367,23
292.769857,11425,37
702.647658,15616,60
702.647658,18000,53
1815.173116,27959,61
2986.252546,36000,84
1990.835031,36898,76
1145.315682,33925,83
1756.619145,24000,59
585.539715,13952,44
3684.527527,55483,84
702.647658,21317,65
2342.158859,23500,60
93.686354,5489,46
585.539715,12184,50
351.323829,8400,41
701.476578,20398,64
3513.238289,24432,64
292.769857,7679,45
1405.295316,30585,66
1580.95723,30457,80
409.8778,8500,35
585.539715,10000,40
409.8778,4300,30
2225.050916,34404,77
23.421589,582,10
585.539715,20000,777777777
381.15802,16063,48
2342.158859,32000,77
257.637475,9430,34
99.541752,303,9
1756.619145,32889,79
702.647658,23263,67
990.733198,21356,63
409.8778,4060,36
158.095723,6974,27
203.767821,1323,17
2693.482688,29903,71
3279.022403,30036,72
467.260692,17225,53
900.560081,27988,65
351.323829,4800,40
2342.158859,30055,84
702.647658,17776,53
2927.698574,26000,69
409.8778,17702,50
2100.003055,21487,58
1100.004277,14671,59
2459.266802,43765,84
304.480652,1500,18
3864.562118,51656,85
1370.162933,1,1
5.269857,1,1
7.026477,1,2
2927.698574,37550,79
23421.588595,75459,83
819.755601,23193,71
818.584521,17000,61
819.755601,23000,59
702.647658,17000,60
175.661914,1523,28
17.566191,39,7
23.421589,33,8
23.421589,10,10
269.348269,2195,26
29.276986,39,7
17566.191446,49281,85
1756.619145,30100,82
234.215886,1300,25
1171.07943,30000,68
351.323829,4088,36
1346.741344,27421,67
3044.806517,50670,82
351.323829,16857,55
1580.95723,28000,60
620.672098,14000,53
1171.07943,24000,83
6352.633667,39600,78
526.985743,6051,28
936.863544,28795,68
3747.454175,44161,85
2342.158859,35000,85
4098.778004,39940,79
585.539715,15000,53
4684.317719,46204,85
2342.158859,35000,83
292.769857,6421,25
526.985743,19000,60
2342.158859,43000,83
2342.158859,33000,80
3513.238289,33500,82
1178.105906,26000,75
1873.727088,15775,59
2459.266802,30080,75
644.093686,3935,34
2693.482688,40000,81
1405.295316,15911,61
59.725051,574,17
526.985743,23000,52
4684.317719,51210,84
351.323829,12000,45
661.817415,27000,64
386.456212,5596,40
351.323829,6000,29
26.934827,756,11
380.600815,16058,41
351.323829,13726,45
1288.187373,34050,78
351.323829,15482,35
1405.295316,27600,70
702.647658,20900,58
2693.482688,25000,69
761.201629,23051,71
936.863544,13752,61
433.299389,14083,55
1454.674678,35650,78
1588.361796,34500,76
702.647658,25120,65
2342.158859,26000,73
4098.778004,36000,80
